0,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,|afghanistan,islamic republic of afghanistan,republic of afghanistan|,|In addition to having sprawling plains and foothills, Afghanistan is very mountainous. The two major mountain ranges in the country are called the Hindu Kush and the Himalayas.|
1,https://www.worldatlas.com/webimage/flags/flags_database/Flag_of_Albania.png,|albania,republic of albania|,|During the nineteen sixties to the nineteen eighties the communist government of albania built a total of one hundred seventy three thousand three hundred seventy one bunkers. That's one bunker every five point seven square kilometers!|
2,http://flags.fmcdn.net/data/flags/w1160/dz.png,|algeria,peoples democratic republic of algeria|,|A country in the western part of north africa. Algeria gained independence from the french in 1962.|
3,http://flaglane.com/download/andorran-flag/andorran-flag-large.jpg,|adnorra,principality of andorra|,|This country lies in europe between spain and france. Only around eighty four thousand people live in the country, but over ten million tourists visit the country each year!|
4,http://flaglane.com/download/angolan-flag/angolan-flag-large.png,|angola,republic of angola|,|Angola is located in africa, its capital city is Luanda.|
5,https://vignette.wikia.nocookie.net/politicsandwar/images/f/f8/Antigua_and_Barbuda_Flag.png/revision/latest?cb=20170608210710,|antigua and barbuda|,|antigua and barbuda is an island nation in the eastern caribbean sea. The country's motto is: Each eandeavoring, all acheiving. The country is part of the british commonwealth|
6,http://flaglane.com/download/argentinian-flag/argentinian-flag-large.png,|argentina,argentine rpublic|,|argentina is a south american country. It is the second largest country in south america and the eighth largest country in the world.|
7,https://upload.wikimedia.org/wikipedia/commons/9/95/Bandera_de_Armenia.png,|armenia,republic of armenia|,|Armenia is a country in the western part of asia. Its capital city is yerevan. armenia received its independence from the soviet union in 1981.|
8,http://cdn.wonderfulengineering.com/wp-content/uploads/2015/07/Aruba-Flag-1.jpg,|aruba|,|aruba is an island in the carribean sea. Aruba is part of the kingdom of the netherlands.|
9,http://tjcollections.com/wp-content/uploads/2017/06/Australia-flag.png,|australia,commonwealth of australia|,|Australia is the sixth largest country in the world.Out of the approximately twenty four million people living in australia, eighty percent of them live on the east coast of the country.|
10,https://upload.wikimedia.org/wikipedia/commons/7/76/Flag_of_Austria.png,|austria,republic of austria|,|The official language of austria is german. The capital city of austria is vienna.|
11,https://upload.wikimedia.org/wikipedia/commons/e/ee/Flag_of_Azerbaijan_1918_variant.PNG,|azerbaijan,republic of azerbaijan|,|Located next to russia, azerbaijan gained independence from the soviet union in 1991. Although considered an asian nation by the united nations, azerbaijan's proximity to europe means it is a part of a number of European groups, including the Council of Europe.|
12,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_the_Bahamas.png,|bahamas,the bahamas,commonwealth of the bahamas,commonwealth of bahama|,|The bahamas are a group of islands in the west indies. Half a million people live in the bahamas spread across seven hundred islands.|
13,https://www.flagmakers.co.uk/wp-content/uploads/1972.png,|bahrain,kingdom of bahrain|,|Bahrain is an island nation in the persian gulf. Currently the qatar-bahrain friendship bridge is being built, which when finished will link bahrain to qatar and will be the longest fixed bridge in the world.|
14,http://flaglane.com/download/bangladesh-flag/bangladesh-flag-large.png,|bangladesh,peoples repbulic of bangladesh|,|Bordering north east india, bangladesh is amongst the ten most populous nations. The official language is bengali, and the local currency is called the Taka.|
15,http://flaglane.com/download/barbados-flag/barbados-flag-graphic.png,|barbados|,|barbados is an island country in the carribean sea. The official language of barbados is english. The island only has one airport: Grantley adams international airport.|
16,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Belarus.png,|belarus,republic of belarus|,|belarus is a country in eastern europe. It has a population of approximately nine mlilion. Over seventy percent of the population of belarus live in urban areas.|
17,https://upload.wikimedia.org/wikipedia/commons/e/eb/Flag_of_Belgium.png,|belgium,kingdom of belgium|,|Belgium is a founding member of the european union. It is home to the headquarters of the european union and NATO, the north atlantic treaty organization.|
18,https://www.cahalpech.com/blog/wp-content/uploads/2016/08/belize-indepedence-day-1.jpg,|belize|,|belize is a country in central america. Belize used to be called british honduras when it was part of the british empire, and before that it was a part of the mayan empire.|
19,http://flaglane.com/download/beninese-flag/beninese-flag-large.png,|benin,republic of benin|,|benin is a country in africa. Although the capital city is porto-novo, the seat of the government is in cotonou, the country's largest city. The official language of the country is french.|
